sku,name,category,price,stock,description,status
SKU-001,Wireless Mouse,Electronics,29.99,150,Ergonomic wireless mouse,active
SKU-002,Mechanical Keyboard,Electronics,89.99,80,RGB mechanical keyboard,active
SKU-003,USB-C Hub,Electronics,45.5,200,7-in-1 USB-C hub,active
SKU-004,Office Chair,Furniture,249.0,35,Ergonomic office chair,active
SKU-005,Standing Desk,Furniture,599.0,20,Electric standing desk,active
SKU-006,Notebook Pack,Stationery,12.99,500,A5 notebooks pack of 5,active
SKU-007,Whiteboard,Office,75.0,45,Magnetic whiteboard 4x3,active
SKU-008,Projector,Electronics,450.0,12,HD business projector,active
SKU-009,Webcam HD,Electronics,65.0,90,1080p webcam,active
SKU-010,Desk Lamp,Furniture,34.99,110,LED desk lamp,active
SKU-011,Wireless Switch,Electronics,49059.87,455,Wireless Switch,active
SKU-012,Smart Power Bank,Furniture,9115.75,97,Smart Power Bank,active
SKU-013,Smart Desk Lamp,Electronics,31226.53,421,Smart Desk Lamp,active
SKU-014,Industrial Speaker,Stationery,11422.98,346,Industrial Speaker,active
SKU-015,Portable Switch,Stationery,27773.58,189,Portable Switch,active
SKU-016,Industrial Tripod,Furniture,24263.44,175,Industrial Tripod,active
SKU-017,Digital Graphics Tablet,Office,8541.39,84,Digital Graphics Tablet,active
SKU-018,Rechargeable Dock,Office,3019.21,187,Rechargeable Dock,active
SKU-019,Smart HDMI Cable,Office,38298.92,118,Smart HDMI Cable,active
SKU-020,Rechargeable Laptop Stand,Furniture,34023.13,177,Rechargeable Laptop Stand,active
SKU-021,Mini Adapter,Electronics,25084.19,13,Mini Adapter,active
SKU-022,Smart Power Bank,Office,48914.1,334,Smart Power Bank,active
SKU-023,Portable Projector,Furniture,35931.8,265,Portable Projector,active
SKU-024,Mini NAS,Office,47346.61,198,Mini NAS,active
SKU-025,Mini Dock,Electronics,35108.48,8,Mini Dock,active
SKU-026,Eco Graphics Tablet,Electronics,42431.79,256,Eco Graphics Tablet,active
SKU-027,Portable Printer,Electronics,19157.06,50,Portable Printer,active
SKU-028,Heavy Duty Cooling Pad,Office,16296.69,39,Heavy Duty Cooling Pad,active
SKU-029,Industrial Headset,Furniture,36410.04,250,Industrial Headset,active
SKU-030,Ultra Cooling Pad,Office,44684.73,123,Ultra Cooling Pad,active
SKU-031,Rechargeable Projector,Electronics,32786.62,162,Rechargeable Projector,active
SKU-032,Advanced Router,Stationery,6198.42,434,Advanced Router,active
SKU-033,Digital NAS,Electronics,5947.85,438,Digital NAS,active
SKU-034,Digital Monitor,Stationery,8859.17,370,Digital Monitor,active
SKU-035,Digital Microphone,Stationery,14569.0,474,Digital Microphone,active
SKU-036,Mini Microphone,Stationery,43194.9,412,Mini Microphone,active
SKU-037,Digital Dock,Furniture,8411.38,249,Digital Dock,active
SKU-038,Smart HDMI Cable,Electronics,14825.42,408,Smart HDMI Cable,active
SKU-039,Rechargeable Adapter,Stationery,19175.96,482,Rechargeable Adapter,active
SKU-040,Advanced Ethernet Cable,Furniture,49587.83,220,Advanced Ethernet Cable,active
SKU-041,Pro Tripod,Electronics,43395.48,103,Pro Tripod,active
SKU-042,Portable Monitor,Furniture,37693.67,35,Portable Monitor,active
SKU-043,Rechargeable NAS,Furniture,8300.33,478,Rechargeable NAS,active
SKU-044,Portable Microphone,Office,3234.37,362,Portable Microphone,active
SKU-045,Smart Ethernet Cable,Stationery,32031.65,267,Smart Ethernet Cable,active
SKU-046,Digital Webcam,Office,22781.72,94,Digital Webcam,active
SKU-047,Heavy Duty Webcam,Office,27172.59,91,Heavy Duty Webcam,active
SKU-048,Mini Tablet,Furniture,16510.02,415,Mini Tablet,active
SKU-049,Compact Projector,Office,14474.61,11,Compact Projector,active
SKU-050,Rechargeable Headset,Furniture,49594.46,212,Rechargeable Headset,active
SKU-051,Premium Speaker,Furniture,36109.37,438,Premium Speaker,active
SKU-052,Premium Printer,Office,18830.25,417,Premium Printer,active
SKU-053,Ultra Scanner,Office,12048.43,196,Ultra Scanner,active
SKU-054,Industrial Dock,Office,46050.35,248,Industrial Dock,active
SKU-055,Premium Speaker,Furniture,17252.55,136,Premium Speaker,active
SKU-056,Smart Desk Lamp,Stationery,48859.45,39,Smart Desk Lamp,active
SKU-057,Mini SSD,Stationery,13209.49,140,Mini SSD,active
SKU-058,Pro Dock,Office,44468.33,396,Pro Dock,active
SKU-059,Portable Laptop Stand,Electronics,26484.27,423,Portable Laptop Stand,active
SKU-060,Digital Mouse Pad,Electronics,2821.61,89,Digital Mouse Pad,active
SKU-061,Digital Webcam,Furniture,47160.48,229,Digital Webcam,active
SKU-062,Eco Microphone,Furniture,18430.38,183,Eco Microphone,active
SKU-063,Industrial Dock,Electronics,10973.99,269,Industrial Dock,active
SKU-064,Rechargeable Adapter,Office,11232.01,258,Rechargeable Adapter,active
SKU-065,Ultra Cable,Electronics,45648.92,437,Ultra Cable,active
SKU-066,Ultra Power Bank,Electronics,28158.48,163,Ultra Power Bank,active
SKU-067,Classic NAS,Stationery,27111.83,339,Classic NAS,active
SKU-068,Pro Laptop Stand,Furniture,38597.91,338,Pro Laptop Stand,active
SKU-069,Classic NAS,Furniture,19314.74,179,Classic NAS,active
SKU-070,Portable SSD,Stationery,25766.09,228,Portable SSD,active
SKU-071,Advanced HDMI Cable,Electronics,23517.48,114,Advanced HDMI Cable,active
SKU-072,Portable SSD,Stationery,11850.1,217,Portable SSD,active
SKU-073,Premium HDMI Cable,Office,31978.63,493,Premium HDMI Cable,active
SKU-074,Portable NAS,Stationery,45584.27,271,Portable NAS,active
SKU-075,Eco SSD,Stationery,10516.86,87,Eco SSD,active
SKU-076,Wireless Headset,Office,42001.4,216,Wireless Headset,active
SKU-077,Heavy Duty Tablet,Stationery,38217.42,295,Heavy Duty Tablet,active
SKU-078,Heavy Duty Dock,Electronics,37685.63,418,Heavy Duty Dock,active
SKU-079,Eco Tripod,Furniture,24090.49,177,Eco Tripod,active
