category,name,sku,description,price,costPrice,mrp,stock,rating,reviewCount,imageUrl
Electronics,Wireless Noise Cancelling Headphones,ELEC-HDPH-001,Over-ear Bluetooth headphones with active noise cancellation 40-hour battery and premium deep bass sound,4999,2800,8999,120,4.5,3421,https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Electronics,Bluetooth Smartwatch Fitness Tracker,ELEC-WATCH-002,Smartwatch with heart-rate monitor SpO2 tracking sleep analysis and 7-day battery life,2999,1600,5999,200,4.3,8712,https://m.media-amazon.com/images/I/81J2G-nlODL.__AC_SY300_SX300_QL70_ML2_.jpg
Electronics,4K Ultra HD Action Camera,ELEC-CAM-003,Waterproof action camera with 4K recording image stabilisation and dual-screen selfie mode,8499,5200,12999,60,4.2,1204,https://m.media-amazon.com/images/I/61KqlCFUSOL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Electronics,Portable Bluetooth Speaker,ELEC-SPKR-004,Compact wireless speaker with 360 degree sound IPX7 waterproof design and 24-hour playtime,1799,900,3499,300,4.4,5623,https://m.media-amazon.com/images/I/814wjwcS-rL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Electronics,Fast Charging Power Bank 20000mAh,ELEC-PWR-005,High capacity power bank with dual USB fast charging and USB-C input for phones and tablets,1499,780,2999,250,4.6,15234,https://m.media-amazon.com/images/I/71+0zbWSyUL._AC_SY300_SX300_.jpg
Electronics,Wireless Gaming Mouse,ELEC-MOUSE-006,Ergonomic gaming mouse with 16000 DPI adjustable sensor RGB lighting and low latency wireless,1299,650,2499,180,4.5,4321,https://m.media-amazon.com/images/I/71HHD-5jfPL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Home & Kitchen,Stainless Steel Air Fryer 4L,HOME-FRY-001,Oil-free air fryer with digital touch controls 8 preset modes and rapid hot air circulation,4499,2600,7999,90,4.4,6754,https://m.media-amazon.com/images/I/615zQdxUI9L.__AC_SX300_SY300_QL70_FMwebp_.jpg
Home & Kitchen,Non-Stick Cookware Set 5 Pieces,HOME-COOK-002,Durable non-stick cookware set with heat-resistant handles suitable for all stovetops,2299,1200,4999,140,4.2,2341,https://m.media-amazon.com/images/I/81PUhNH1uzL._AC_SL1500_.jpg
Home & Kitchen,Automatic Coffee Maker,HOME-COFF-003,Drip coffee maker with programmable timer keep-warm plate and 1.5L glass carafe,3299,1900,5999,75,4.3,1893,https://m.media-amazon.com/images/I/41bbKD7KiQL._SY445_SX342_QL70_ML2_.jpg
Home & Kitchen,Robot Vacuum Cleaner,HOME-VAC-004,Smart robot vacuum with app control auto charging and powerful suction for all floor types,12999,8200,19999,40,4.1,987,https://m.media-amazon.com/images/I/51XniIY+GFL._SX342_SY445_.jpg
